MANDT,QMNUM,FENUM,COUNTER,QMART,PROZESSTYP,WERKS,OTGRP,AKZ,SKZ,ARCHIVFLAG,ORDERSTATECOMPL,ORDERDATE,UHRZEITORDER,DATECLOSED,KUNDEWUNSCHTERM,DOCKDATE,NO_DOCKING,RECEIVEDATE,REPDAUER,KALTAGE,AUFTRAGSENDESOLL,INITCOMMITDATE,FANUMBER,FADATE,FASTART,FAEND,RSENDE,WEBAZ,EINLAGERDATE,TAT,OVERDUE,AUSSONDERUNG,LABELPRINT,DELNOTENUMBER,DELNOTEPOSNR,SHIPTO,SHIPTO_NAME1,SHIPTO_NAME2,SHIPTO_NAME3,SHIPTO_STREET,SHIPTO_HOUSE_NUM,SHIPTO_POST_CODE,SHIPTO_CITY1,SHIPTO_SORT1,DELNOTEPRINT,READYTOSHIP,DELIVERDATE,QMEL_USR11,SLABEZ,VBELN,POSNR,VSBED,CUSTOMERGROUP,CUSTOMERGROUPWE,KUNDENNUMMER,RETOURE,PRCTR,PURCHASEORDER,PURCHASEORDER_I,PURCHASEORDER2,PURCHASEORDER2_I,PURCHASE_BNAME,QMFE_USR02,QMFE_USR03,VENDORNUMMER,VENDOR,PURCHASENUMBER,EBELP,ZYRMANO,VENDORDATE,VENDORRUECK,CTDISAPMATNUMMER,PARTNUMBERALC,PARTDESCR,TECHCODE,SYSTEMDESCR,KUNDETECHCODE,PRODATT8,PRODATT7,PS_PSP_PNR,NORMT,YIMP_HKZ3,HERSTELLER,EQUIPMENTNUMMER,SERIALMELD,SERIALREC,SERIALDELIVER,PARTNUMBEROUT,LIEFERLAGER,LIEFERWERK,VENDORPREIS,HSWAE,PRICE,WAERK,FAKTURAPREIS,WAERS,MATPREIS,MWAERS,MATRPEISSTAND,MSWAERS,LASTUPDATE,RECHNUMMER,FKSTK,RECHDATUM,AWB,SHIPPER,SHIPDATE,TRACKDATE,BREAKSTART,BREAKEND,BREAKDURATION,MNCODUNTERBR,MATXT,WBSTA,FCODE,FCODETEXT,FLAGE,FLAGETXT,FART,FARTTEXT,ERRORTEXT,FEHLER1,MATNR_OUT,PARTNUMBERIN,OBJNR,YLIEFVEND,YLIEFVENDPOS,YLIEFVENDVDAT,KOMPPREIS,KPWAERS,VKORG,VTWEG,SPART,ABGRU,BMENG,WKTNR,WKTPS,RESSORT,SERNRREC,SERNRLIF,RETOURE_POSNR,SERNRAUFNR,NLPTI,EXTKOSTLE,KDSACHBE,TRACKNVEND,TRACKDATEVEND,TKNUM,EXTI1,QMFE_USR08,MATNR_IN,ZX_DOCKDATE,ZX_LABELPRINT,ZX_DELIVERDATE,ROUTE,ZX_REMARKSRS,ZX_REMARKSVM,CCM_MATNO_01,CCM_MATNO_02,CCM_MATNO_03,CCM_VENDOR,CCM_VENDOR_ADR,CCM_VENDOR_INFO1,CCM_VENDOR_INFO2,CCM_ZINFO1,CCM_ZINFO2,CCM_ZINFO3,TANUM,EINLAGZT,DATUM_Q_FREI,UZEIT_Q_FREI,BSTNK,MELDPOS,LIKP_ERDAT,SERNP,TRACKTIME,AKZ_WE,CLOSED_EXCEPTION,KOSTV,PRCTR_UMSATZ,FAST_GOOD_PARTS,WORKSHOP_RATE,YMDS,GBSTK,FETXT,DATE_MOVED_ARCHIVTABLE
100,000313262404,1,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,000000003900221600,M5000-027-FREPM,Move5000 w/ camera (PWA34812986T) RAM.20,BBEC,,,,,0,,,0001351399,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313262404,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,85411 RMA,0003132624040001,,,,,,,,,0,,,,
100,000313268548,1,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,000000003900221601,L5000-006-FREPM,Lane5000 w/ camera (PRB32611578I) + Elav,BBEC,,,,,0,,,0001351399,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313268548,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,86915 NEW,0003132685480001,,,,,,,,,0,,,,
100,000313361006,1,1,Z1,,,,,,,O,,,,09-11-2023,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,000000003900221600,M5000-027-FREPM,Move5000 w/ camera (PWA34812986T) RAM.20,BBEC,,,,,0,,,0001351399,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313361006,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,92301 RMA,0003133610060001,,,,,,,,,0,,,,
100,000313361061,1,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,000000003900221600,M5000-027-FREPM,Move5000 w/ camera (PWA34812986T) RAM.20,BBEC,,,,,0,,,0001351399,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313361061,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,92301 RMA,0003133610610001,,,,,,,,,0,,,,
100,000313361581,1,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,000000003900221600,M5000-027-FREPM,Move5000 w/ camera (PWA34812986T) RAM.20,BBEC,,,,,0,,,0001351399,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313361581,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,92301 RMA,0003133615810001,,,,,,,,,0,,,,
100,000313438743,2,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313438743,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1003987656,0003134387430002,,,,,,,,,0,,,"N Name: Fan block""",
100,000313499533,2,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313499533,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1004039230,0003134995330002,,,,,,,,,0,,,"gen, SFP nicht auslesbar/erkennbar",
100,000313690269,2,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313690269,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1004175115,0003136902690002,,,,,,,,,0,,,", Sub Slot No.=NULL, Manager Cabinet No.",
100,000313692333,2,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313692333,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1004190483,0003136923330002,,,,,,,,,0,,,ppenträger dementsprechend nicht defekt.,
100,000313712767,2,1,Z1,,,,,,,O,,,,,,,,0,,,,,,,,,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,,0,,0,,18-09-2026,,,,,,,,,,0,,,,,,,,,,,,,,QM000313712767,,0,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1004201429,0003137127670002,,,,,,,,,0,,,"age kommt. Wenn PMU gezogen ist, läuft A",
